Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"13/03/2015 0:14:05","0","53,7","mV","25,0","°C","0","-564,8","mV","25,0","°C","16","0,2","mV","22,5","°C","0","-650,3","mV","25,0","°C","16","-51,8","mV","25,4","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:14:26","0","53,7","mV","25,0","°C","0","-577,2","mV","25,0","°C","16","0,2","mV","22,5","°C","0","-661,8","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,8","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:14:46","0","53,7","mV","25,0","°C","0","-587,8","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-663,9","mV","25,0","°C","16","-52,1","mV","25,4","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,9","mV","25,0","°C",""
"13/03/2015 0:15:06","0","53,6","mV","25,0","°C","0","-585,7","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-674,0","mV","25,0","°C","16","-51,8","mV","25,4","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:15:26","0","53,7","mV","25,0","°C","0","-597,1","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-684,0","mV","25,0","°C","16","-52,2","mV","25,5","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
"13/03/2015 0:15:46","0","53,7","mV","25,0","°C","0","-589,9","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-677,0","mV","25,0","°C","16","-51,9","mV","25,5","°C","0","-50,9","mV","25,0","°C","0","-50,6","mV","25,0","°C","0","-49,6","mV","25,0","°C",""
"13/03/2015 0:16:06","0","53,7","mV","25,0","°C","0","-603,1","mV","25,0","°C","16","0,3","mV","22,4","°C","0","-688,6","mV","25,0","°C","16","-51,9","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:16:26","0","53,7","mV","25,0","°C","0","-612,4","mV","25,0","°C","16","0,3","mV","22,4","°C","0","-699,5","mV","25,0","°C","16","-52,2","mV","25,5","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,9","mV","25,0","°C",""
"13/03/2015 0:16:46","0","53,7","mV","25,0","°C","0","-608,0","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-693,6","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:17:06","0","53,6","mV","25,0","°C","0","-621,1","mV","25,0","°C","16","0,2","mV","22,5","°C","0","-709,9","mV","25,0","°C","16","-52,3","mV","25,5","°C","0","-51,2","mV","25,0","°C","0","-50,8","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:17:26","0","53,7","mV","25,0","°C","0","-614,9","mV","25,0","°C","16","0,2","mV","22,4","°C","0","-702,6","mV","25,0","°C","16","-51,8","mV","25,5","°C","0","-50,8","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
